"incident_county","incident_name","incident_acres_burned","incident_latitude","incident_longitude","incident_type","incident_date_created","incident_dateonly_created","created_year","created_month","incident_date_extinguished","incident_dateonly_extinguished","incident_id"
"Riverside","Snake Fire","30","33.7505","-117.348","Wildfire","2023-07-11 07:22:00-07","2023-07-11","2023","7","2023-07-13 00:58:26-07","2023-07-13","d2ced711-9481-45ca-9d1b-943352d05fac"
"Riverside","Pulsar Fire","12","33.821929","-117.068009","Wildfire","2023-07-13 13:39:00-07","2023-07-13","2023","7","2023-07-14 13:37:00-07","2023-07-14","bbd4db04-faef-41c7-9422-ee1393ca1b1f"
"Riverside","Highland Fire","105","33.907342","-116.946498","Wildfire","2023-07-14 07:57:00-07","2023-07-14","2023","7","2023-07-17 11:27:00-07","2023-07-17","e8f155bc-20c6-4344-b5dc-69ce1d0b8613"
"Colusa","Lodoga Fire","22","39.2694","-122.466","Wildfire","2023-07-16 14:46:00-07","2023-07-16","2023","7","2023-07-19 05:09:59-07","2023-07-19","b57f434d-f307-4055-b47b-e49337374dd9"
"Fresno","Juniper Fire","15","36.1132","-120.5689","Wildfire","2023-07-18 13:59:23-07","2023-07-18","2023","7","2023-07-19 09:00:00-07","2023-07-19","33f3bc95-bab6-445a-95d0-58b7cd247431"
"Glenn","Stony Fire","89","39.6685","-122.5259","Wildfire","2023-07-18 07:48:00-07","2023-07-18","2023","7","2023-07-20 01:00:00-07","2023-07-20","471a442e-3c6c-49d3-a1da-c6539336f975"
"Riverside","Oak Fire","137","34.0182","-117.4261","Wildfire","2023-07-19 07:02:00-07","2023-07-19","2023","7","2023-07-20 10:00:00-07","2023-07-20","4882ca86-e46f-429b-bc3c-194654bfb01f"
"Riverside","Reche Fire","436","33.9835","-117.2169","Wildfire","2023-07-13 17:58:00-07","2023-07-14","2023","7","2023-07-20 23:00:00-07","2023-07-21","eb2196cc-8ecb-49f6-ae21-a832da54a663"
"Riverside","Gavilan Fire","336","33.817004","-117.358124","Wildfire","2023-07-15 08:28:00-07","2023-07-15","2023","7","2023-07-21 10:00:00-07","2023-07-21","e013877e-7837-435f-8bb1-692b68a37f8e"
"San Benito","Idria Fire","296","36.490487","-120.801732","Wildfire","2023-07-19 16:32:00-07","2023-07-19","2023","7","2023-07-21 23:00:00-07","2023-07-22","8e5b1375-7f14-4731-aa73-86e5db2e7f70"
"Riverside","Rabbit Fire","8355","33.889467","-117.070916","Wildfire","2023-07-14 08:30:00-07","2023-07-14","2023","7","2023-07-22 10:00:00-07","2023-07-22","472e88dd-7121-4fb6-825c-91af4d5ed373"
"Los Angeles","Victor Fire","70","34.356691","-118.507954","Wildfire","2023-07-25 08:25:00-07","2023-07-25","2023","7","2023-07-27 01:22:04-07","2023-07-27","44518f29-7ba2-45c1-b6f6-13e3556ee941"
"Riverside","Sunset Fire","103","33.9372","-116.9081","Wildfire","2023-07-27 11:49:16-07","2023-07-27","2023","7","2023-07-28 10:00:00-07","2023-07-28","6444fb86-d180-4a36-98fe-e2959a14965d"
"Alameda","Flynn Fire","80","37.7356","-121.6065","Wildfire","2023-07-29 12:09:00-07","2023-07-29","2023","7","2023-07-29 23:00:00-07","2023-07-30","09e1c7bf-e40b-4843-b245-917cb162130b"
"Riverside","Almond Fire","95","33.91436","-116.76111","Wildfire","2023-08-02 16:44:00-07","2023-08-02","2023","8","2023-08-02 02:50:00-07","2023-08-02","e595da7d-9cd4-48a3-9b11-5363cfd066e1"
"Kern","Haberkern Fire","35","36.7611111","-119.988888","Wildfire","2023-08-01 09:00:00-07","2023-08-01","2023","8","2023-08-02 13:26:18-07","2023-08-02","1df129dd-265c-450d-a605-b46d82ca0436"
"San Luis Obispo","Shell Fire","100","35.458459","-120.334625","Wildfire","2023-07-30 04:56:00-07","2023-07-30","2023","7","2023-08-02 13:26:50-07","2023-08-02","6550e4e3-ef7f-4ebd-87ca-4a4244fdffd2"
"Kern","East Fire ","1291","35.490591","-118.875657","Wildfire","2023-08-01 07:26:00-07","2023-08-01","2023","8","2023-08-02 13:28:31-07","2023-08-02","29d92f74-bbef-483e-9cf5-4f45aa82a8ba"
"Mariposa","Washburn Fire","4886","37.499","-119.614","Wildfire","2022-07-07 07:13:08-07","2022-07-07","2022","7","2023-08-03 02:29:42-07","2023-08-03","776de6ba-3e3c-4388-b257-44e8c9231a95"
"Butte","Turkey Fire","65","39.446994","-121.399989","Wildfire","2023-07-26 07:17:00-07","2023-07-26","2023","7","2023-08-03 07:53:38-07","2023-08-03","6401556e-3e19-467b-8c26-af4a20864672"
"Shasta","Ridge Fire","28","40.735974","-122.624538","Wildfire","2023-08-04 07:45:00-07","2023-08-04","2023","8","2023-08-05 23:00:00-07","2023-08-06","8ae10edc-77d0-4df3-a398-846bea7acac0"
"Kern","Boulevard Fire","88","35.0990626","-118.2951023","Wildfire","2023-08-04 07:49:00-07","2023-08-04","2023","8","2023-08-06 00:01:33-07","2023-08-06","c19ca405-6810-4097-b078-13fa9a7a6119"
"Riverside","Bonny Fire","2323","33.4769","-116.7247","Wildfire","2023-07-27 07:52:00-07","2023-07-27","2023","7","2023-08-07 01:32:11-07","2023-08-07","9140903a-8dd4-45f9-aac7-70921d3f1948"
"Kern","Almond Fire","5228","35.614674","-119.835808","Wildfire","2023-08-06 09:52:04-07","2023-08-06","2023","8","2023-08-07 11:00:00-07","2023-08-07","ac1b69c8-652d-428a-90eb-008eff0029d7"
"Los Angeles","Agua Fire","421","34.438333","-118.326389","Wildfire","2023-07-25 07:17:00-07","2023-07-25","2023","7","2023-08-07 11:00:00-07","2023-08-07","287f3a55-d3a6-4273-ad3c-c66910a12cb9"
"Butte","Cemetery Fire","68","39.377918","-121.68793","Wildfire","2023-08-09 07:00:00-07","2023-08-09","2023","8","2023-08-09 11:00:00-07","2023-08-09","4769737e-f0b5-48c0-9b39-90db40414a7d"
"Riverside","Rock Fire","531","33.871189","-117.150639","Wildfire","2023-08-09 07:35:00-07","2023-08-09","2023","8","2023-08-10 09:00:02-07","2023-08-10","0a2ff66b-76bc-4671-9afe-a2023060b6d9"
"Tulare","Dry Creek Complex","301","36.5323","-119.0113","Wildfire","2023-08-10 11:51:00-07","2023-08-10","2023","8","2023-08-10 11:00:00-07","2023-08-10","954a9ca6-3863-4a6f-b22f-fc6bb6fcef6c"
"San Diego","Bunnie Fire","184","32.994676","-116.855731","Wildfire","2023-08-09 04:18:00-07","2023-08-09","2023","8","2023-08-11 09:00:00-07","2023-08-11","bdbc6903-5fea-4b29-9ddf-874bfd7174c8"
"San Benito","Hernandez Fire","75","36.4392121","-120.9783812","Wildfire","2023-08-10 11:47:45-07","2023-08-10","2023","8","2023-08-11 13:00:00-07","2023-08-11","21d01f9d-fc51-4a0a-88ca-06f934ea2cae"
"San Luis Obispo","Bitter Fire","695","35.4854","-120.0574","Wildfire","2023-08-15 10:56:00-07","2023-08-15","2023","8","2023-08-15 23:19:00-07","2023-08-16","db55b282-4079-4a2a-beb8-e85f42b0491b"
"Kern","Trotter","52","35.1387962","-118.6027987","Wildfire","2023-08-14 04:10:00-07","2023-08-14","2023","8","2023-08-16 10:00:00-07","2023-08-16","2b5b710e-acec-4818-9d26-22062a75d793"
"Glenn","Thirty Five Fire","109","39.6194","-122.3287","Wildfire","2023-08-17 05:36:00-07","2023-08-17","2023","8","2023-08-17 10:00:00-07","2023-08-17","1c3481f5-3d33-40a2-8f24-5edbebc17d6c"
"Kern","No Name Fire","1120","35.78611","-117.8875","Wildfire","2023-08-05 10:42:23-07","2023-08-05","2023","8","2023-08-19 10:00:00-07","2023-08-19","128eaf5b-0947-44d0-9df9-fd7975d0fe9d"
"San Bernardino","York Fire","93078","35.191889","-115.317389","Wildfire","2023-08-01 02:07:57-07","2023-08-01","2023","8","2023-08-19 11:00:00-07","2023-08-19","44335201-1bda-408e-8bed-ec84b650c770"
"San Diego","Coyote Fire","466","32.6347","-116.6415","Wildfire","2023-08-17 05:11:00-07","2023-08-17","2023","8","2023-08-20 11:00:00-07","2023-08-20","243c4ae4-f7eb-44f4-b5e8-ff8c4baaccd5"
"Tehama","Slide 1 Fire","473","40.036944","-122.855","Wildfire","2023-08-16 01:35:57-07","2023-08-16","2023","8","2023-08-21 18:30:00-07","2023-08-22","b552934b-98f7-48dd-bbd5-33e1caf89817"
"Santa Clara","Cochrane Fire","72","37.18725","-121.67208","Wildfire","2023-08-16 10:31:03-07","2023-08-16","2023","8","2023-08-23 07:24:10-07","2023-08-23","ffa56129-0d5e-4ec5-bfae-3440757d9deb"
"Santa Barbara","Plant Fire","5464","34.9190169","-119.73328","Wildfire","2023-08-19 06:25:33-07","2023-08-19","2023","8","2023-08-30 08:00:00-07","2023-08-30","e3297f9e-f753-49b6-9cdf-78700edde34f"
"Siskiyou","SKU August Lightning Complex","838","41.2477","-121.5041","Wildfire","2023-08-15 12:48:44-07","2023-08-15","2023","8","2023-08-31 00:00:00-07","2023-08-31","c9ed4253-40dd-4388-8988-d832d313a728"
"Lake","Creek Fire","28","38.903333","-122.601667","Wildfire","2023-09-06 08:30:00-07","2023-09-06","2023","9","2023-09-11 05:27:51-07","2023-09-11","4adc26cb-281f-44ef-b6e2-f3509f1c03be"
"Calaveras","Knoll Fire","32","38.18291","-120.7942","Wildfire","2023-09-10 05:46:00-07","2023-09-10","2023","9","2023-09-12 11:00:00-07","2023-09-12","6d65a6f6-b12a-4ed9-94b9-7f90246c8615"
"Napa","Alta Fire","14","38.3702","-122.1796","Wildfire","2023-09-12 08:35:00-07","2023-09-12","2023","9","2023-09-13 10:30:00-07","2023-09-13","81a42060-b157-40e7-bbb0-a9371a2435c3"
"Kern","Caliente Fire","55","35.2674","-118.616","Wildfire","2023-09-16 08:37:00-07","2023-09-16","2023","9","2023-09-17 11:18:00-07","2023-09-17","6c0acbd1-309a-4555-9161-3b757f38d2cc"
"Trinity","Deep Fire","4198","40.93686","-122.94871","Wildfire","2023-08-16 01:28:40-07","2023-08-16","2023","8","2023-10-02 07:44:33-07","2023-10-02","47a47e9a-ab8a-4f4c-91fb-3504843cdf45"
"San Luis Obispo","Green Fire","243","35.5421","-120.9739","Wildfire","2023-10-06 05:05:00-07","2023-10-06","2023","10","2023-10-09 11:48:44-07","2023-10-09","c5c1319d-b98a-4b1e-ac51-65d2f1c2de6f"
"Solano","Wiley Fire","36","38.265241","-121.981732","Wildfire","2023-10-07 07:49:04-07","2023-10-07","2023","10","2023-10-10 08:15:56-07","2023-10-10","8cb88028-9b7f-49a9-be2d-6d81c7e06193"
"Humboldt","SRF Lightning Complex","50198","41.017222","-123.611167","Wildfire","2023-08-20 04:16:48-07","2023-08-20","2023","8","2023-10-29 04:53:12-07","2023-10-29","ad8025a3-0060-49db-a048-bce567ee0a57"
"San Diego","Border 34 Fire","24","32.598","-116.9196","Wildfire","2023-10-29 08:29:00-07","2023-10-29","2023","10","2023-10-30 07:00:00-07","2023-10-30","e90b6420-76a9-424b-8e26-67422eadc6a0"
"Siskiyou","Happy Camp Complex","21725","41.777554","-123.045093","Wildfire","2023-08-16 03:27:00-07","2023-08-16","2023","8","2023-10-30 18:30:00-07","2023-10-31","2b9ad272-c3c1-4de1-870d-d35b1e383912"
"Trinity","South Fork Complex","3929","40.623606","-123.662677","Wildfire","2023-08-15 01:00:00-07","2023-08-15","2023","8","2023-11-01 11:00:00-07","2023-11-01","5608557c-4576-40ac-8f63-a8f428d62117"
"San Luis Obispo","Lizzie Fire","124","35.2808","-120.644","Wildfire","2023-10-30 07:14:00-07","2023-10-30","2023","10","2023-11-01 11:20:00-07","2023-11-01","87f3453c-ba4e-40dd-930d-c666ce049af1"
"Riverside","Highland Fire","2487","33.438207","-116.82307","Wildfire","2023-10-30 05:37:00-07","2023-10-30","2023","10","2023-11-07 05:18:36-08","2023-11-07","de8dad71-4393-449f-874b-8a6ce378f5b6"
"Santa Barbara","Sun Fire","211","34.55742","-120.32318","Wildfire","2023-11-09 04:15:00-08","2023-11-09","2023","11","2023-11-12 22:00:00-08","2023-11-13","1c646b82-e568-4051-a642-059744a09eab"
"Riverside","Manzanita Fire","15","33.839416","-117.003584","Wildfire","2023-11-14 08:25:00-08","2023-11-14","2023","11","2023-11-14 01:05:00-08","2023-11-14","7deacf45-3e46-48fd-b0ba-fdd89f65d574"
"Tuolumne","Quarry Fire","9130","38.06095","-119.991667","Wildfire","2023-09-09 12:32:00-07","2023-09-09","2023","9","2023-11-15 04:49:01-08","2023-11-15","8fd639fa-cdc5-4a0c-8b8a-7ee7887d30ad"
"Del Norte","Smith River Complex","95107","41.958269","-123.868447","Wildfire","2023-08-15 00:00:00-07","2023-08-15","2023","8","2023-11-17 10:00:00-08","2023-11-17","d9e259d7-24d5-4e15-b9df-0c23fac25f9c"
"San Diego","Sage Fire","39","32.723389","-116.891493","Wildfire","2023-11-23 05:50:00-08","2023-11-23","2023","11","2023-11-28 04:20:00-08","2023-11-28","6ebb5e9c-a73e-4685-8e58-2aa653e922f4"
"San Diego","Border 38 Fire","13","32.5666","-116.7986","Wildfire","2023-12-05 01:45:00-08","2023-12-05","2023","12","2023-12-06 08:01:10-08","2023-12-06","d372cad1-7e39-4973-87fc-3e400acc081e"
"Riverside","Elm Fire","65","33.9007","-116.7635","Wildfire","2023-12-09 01:21:00-08","2023-12-09","2023","12","2023-12-11 04:35:20-08","2023-12-11","a17adb99-eed2-4669-91b2-aecc302fdab9"
"Ventura","South Fire","2715","34.327","-118.9938","Wildfire","2023-12-09 01:38:00-08","2023-12-09","2023","12","2023-12-12 00:18:55-08","2023-12-12","55e9dd9a-0f62-4f5c-b3e3-3d63c0bfedec"
"Kern","Pine Fire","181","35.5593","-118.8696","Wildfire","2023-12-15 04:20:00-08","2023-12-15","2023","12","2023-12-15 10:52:47-08","2023-12-15","93dec295-6159-4227-8b85-4ae3a7abe6bb"
"San Diego","Border 42 Fire","50","32.6036","-116.7718","Wildfire","2023-12-21 13:55:00-08","2023-12-21","2023","12","2023-12-22 00:00:00-08","2023-12-22","91e89644-a6fc-4216-a9bb-b7f52e8d3093"
"San Diego","Canary Fire","25","33.44756","-117.40342","Wildfire","2024-09-06 10:06:53-07","2024-09-06","2024","9","2024-02-25 00:00:00-08","2024-02-25","45291c5b-03f9-417f-b120-480be9b60315"
"Riverside","Palmas Fire","239","33.5103795","-115.82784","Wildfire","2024-02-20 15:57:00-08","2024-02-20","2024","2","2024-02-26 08:00:00-08","2024-02-26","da0f58a2-b61c-4514-8439-c4ca4792718a"
"Monterey"," Bryson Fire","11","35.81148","-121.084104","Wildfire","2024-02-27 04:27:41-08","2024-02-27","2024","2","2024-02-27 15:00:00-08","2024-02-27","c32fd360-9830-4ad1-9595-0b3a67257eba"
"Kern","School Fire","1479","35.04847","-119.33179","Wildfire","2024-05-02 06:41:00-07","2024-05-02","2024","5","2024-05-03 02:00:00-07","2024-05-03","9aeb7f9d-3672-400d-ba4e-2b490220f78d"
"Riverside","Magnolia Fire","37","33.9208","-116.807061","Wildfire","2024-05-07 07:08:25-07","2024-05-07","2024","5","2024-05-08 05:41:30-07","2024-05-08","d9d67720-8b28-47d1-a05d-3033c70b73a3"
"Riverside","Janell Fire","14","33.471139","-116.8539685","Wildfire","2024-05-14 05:34:22-07","2024-05-14","2024","5","2024-05-14 21:35:00-07","2024-05-15","0e7ec8f8-87e5-4a70-9369-08b96059d3eb"
"Riverside","Mission Fire","27","33.984278","-116.583317","Wildfire","2024-05-18 07:47:29-07","2024-05-18","2024","5","2024-05-18 09:33:00-07","2024-05-18","49095c12-ea76-4ac6-8034-ff1da7b6c03f"
"Kern","Wind Fire","121","34.96545","-118.99692","Wildfire","2024-05-20 00:45:00-07","2024-05-20","2024","5","2024-05-20 11:45:00-07","2024-05-20","b7ca9cee-f5e3-4d5c-afd0-19ade7b24ba9"
"San Diego","Knolls Fire","17","33.02113","-117.170895","Wildfire","2024-05-22 05:49:26-07","2024-05-22","2024","5","2024-05-22 14:00:00-07","2024-05-22","9fdbe919-5581-44a9-aaf6-307037193995"
"Butte","Seven Fire","11","39.539678","-121.908346","Wildfire","2024-05-23 09:33:53-07","2024-05-23","2024","5","2024-05-23 18:45:00-07","2024-05-24","198dd536-7be9-44ca-b300-763e8927737c"
"Riverside","Dillon Fire","34","33.925778","-116.600203","Wildfire","2024-05-28 08:19:33-07","2024-05-28","2024","5","2024-05-28 11:00:00-07","2024-05-28","367bb551-c370-4dac-9ce5-7ee4999878a5"
"San Benito","Panoche Fire","191","36.5097274","-120.8471351","Wildfire","2024-05-25 03:14:38-07","2024-05-25","2024","5","2024-05-28 12:30:00-07","2024-05-28","72e46bd8-232b-45c0-a715-46fec070b9e1"
"Kern","Mocal Fire","116","35.180776","-119.558308","Wildfire","2024-05-28 09:31:00-07","2024-05-28","2024","5","2024-05-28 17:00:00-07","2024-05-29","dd4afe59-3fa5-4505-b519-ae21aaf822a0"
"Kings","Devil Fire","188","35.85008","-119.915199","Wildfire","2024-05-29 08:08:22-07","2024-05-29","2024","5","2024-05-29 11:34:00-07","2024-05-29","7f2a842e-30da-4f04-9c47-7abf1847355c"
"Riverside","Howard Fire","32","33.56557","-116.718429","Wildfire","2024-05-30 05:14:14-07","2024-05-30","2024","5","2024-05-31 14:44:48-07","2024-05-31","24ea1259-3db7-44bb-9d52-ec12666d7c14"
"Santa Barbara","Hill Fire","1383","34.8936966","-119.5572279","Wildfire","2024-05-28 05:15:00-07","2024-05-28","2024","5","2024-06-01 02:19:58-07","2024-06-01","a8dbeeba-fe5a-4cc2-b1f5-c0f62d9c13a7"
"Merced","Fields Fire","22","37.565014","-120.425878","Wildfire","2024-05-31 08:22:10-07","2024-05-31","2024","5","2024-06-01 02:25:54-07","2024-06-01","aeaaa127-7246-4a93-b7af-1a705002ada2"
"Santa Barbara","Field Fire","201","34.9592","-119.698014","Wildfire","2024-05-31 08:15:00-07","2024-05-31","2024","5","2024-06-01 06:59:37-07","2024-06-01","46d80e55-328e-4dd7-9563-41c794e34337"
"Riverside","Limonite Fire","18","33.975351","-117.505873","Wildfire","2024-05-31 06:39:03-07","2024-05-31","2024","5","2024-06-01 11:32:23-07","2024-06-01","8f5c5e63-78a9-42d1-a3d9-57ddb6c6a0af"
"Kern","Ranch Fire","616","35.442336","-118.82214","Wildfire","2024-05-31 15:24:23-07","2024-05-31","2024","5","2024-06-01 12:30:46-07","2024-06-01","aa660305-cefc-41ce-8d06-f77dec63a8e3"
"Madera","Raymond Fire","27","36.974519","-120.044449","Wildfire","2024-06-01 13:55:50-07","2024-06-01","2024","6","2024-06-01 17:00:00-07","2024-06-02","8272c94a-4757-4ee4-9395-69cf62f0d857"
"Fresno","Little Fire","34","36.777907","-120.729222","Wildfire","2024-06-05 22:30:45-07","2024-06-06","2024","6","2024-06-06 01:00:00-07","2024-06-06","fd38093a-e9db-4603-99f0-e760d7c92e97"
"Riverside","Relay Fire","47","33.910994","-116.980503","Wildfire","2024-06-06 06:14:49-07","2024-06-06","2024","6","2024-06-06 13:20:00-07","2024-06-06","687f0b9f-3685-46d1-953b-38540b363b8c"
"Riverside","Morgan Fire","14","33.487833","-117.052745","Wildfire","2024-06-07 07:54:47-07","2024-06-07","2024","6","2024-06-07 00:00:00-07","2024-06-07","fa87ab64-243c-4b62-90b7-312c020e656c"
"Kern","Gaskell Fire","403","34.82333","-118.30848","Wildfire","2024-06-06 08:59:13-07","2024-06-06","2024","6","2024-06-07 05:25:00-07","2024-06-07","5fbf1bfd-1767-4459-a8f7-eee8e83463e8"
"Merced","Poleline Fire","30","36.928296","-120.834941","Wildfire","2024-06-07 11:57:04-07","2024-06-07","2024","6","2024-06-07 14:31:41-07","2024-06-07","591daf80-c234-485c-8d0e-38c9c6049980"
"Napa","Crystal Fire","60","38.55954","-122.494472","Wildfire","2024-06-05 06:40:12-07","2024-06-05","2024","6","2024-06-07 23:58:49-07","2024-06-08","ea843ab2-4115-4cab-9ef7-3a2cb3af9a15"
"Kern","Creek Fire","50","35.346667","-118.386667","Wildfire","2024-06-09 02:35:00-07","2024-06-09","2024","6","2024-06-11 01:00:00-07","2024-06-11","ed47f029-1282-4d6b-b00a-1abdc40418e5"
"Los Angeles","Lincoln Fire","17","34.65729","-118.09927","Wildfire","2024-06-11 08:51:07-07","2024-06-11","2024","6","2024-06-11 12:15:00-07","2024-06-11","7860b848-c83b-4f45-9359-91836fc1d8c8"
"Siskiyou","Cod Fire","28","41.900664","-122.444022","Wildfire","2024-06-10 10:49:24-07","2024-06-10","2024","6","2024-06-13 11:58:12-07","2024-06-13","410327d5-b412-4a81-99f5-bd10c9e9c832"
"Los Angeles","West Fire","300","34.73279","-118.29017","Wildfire","2024-06-15 10:21:25-07","2024-06-15","2024","6","2024-06-15 01:09:00-07","2024-06-15","520a9130-6e98-4f88-b654-0e77e33edb04"
"Madera","Sioux Fire","15","37.207647","-119.673538","Wildfire","2024-06-15 09:55:18-07","2024-06-15","2024","6","2024-06-16 04:56:30-07","2024-06-16","b82bba9f-0d5e-44a4-9547-190c7b147ebc"
"Imperial","Inkopah 5 Fire","30","32.655183","-116.099983","Wildfire","2024-06-16 04:15:56-07","2024-06-16","2024","6","2024-06-16 13:00:10-07","2024-06-16","b1c20387-c024-40d6-bb7d-ed46655c4222"
"Tulare","Stage Fire","81","35.942249","-118.946399","Wildfire","2024-06-17 07:31:36-07","2024-06-17","2024","6","2024-06-17 10:32:51-07","2024-06-17","9f426988-5213-4e2c-931f-52517cb4d3e1"
"Butte","Junes Fire","1056","39.369439","-121.518592","Wildfire","2024-06-15 08:20:59-07","2024-06-15","2024","6","2024-06-18 10:18:23-07","2024-06-18","2e93fb95-8e13-4724-b358-ca3824e4a6ca"
"Kern","Daytona Fire","123","35.382","-118.878444","Wildfire","2024-06-19 08:50:28-07","2024-06-19","2024","6","2024-06-19 06:07:13-07","2024-06-19","cd369e40-e1c3-48be-8ef4-4561980bd9b1"
"Kern","Sky Fire","528","35.32752","-119.462711","Wildfire","2024-06-19 04:32:30-07","2024-06-19","2024","6","2024-06-19 06:07:44-07","2024-06-19","cd7aebca-2b90-4953-a108-2a0cab35a196"
"Sacramento","Douglas Fire","585","38.54166","-121.24438","Wildfire","2024-06-17 07:03:14-07","2024-06-17","2024","6","2024-06-19 07:06:36-07","2024-06-19","4c10216b-5a51-4a3d-ae55-700d44bd2bee"
"San Benito","Hernandez Fire","642","36.400976","-120.986676","Wildfire","2024-06-15 10:05:07-07","2024-06-15","2024","6","2024-06-19 23:02:13-07","2024-06-20","99234b51-ab68-4aac-978c-af52b5a2f575"
"Solano","Kirk Fire","20","38.220139","-122.234173","Wildfire","2024-06-20 03:13:06-07","2024-06-20","2024","6","2024-06-21 06:10:08-07","2024-06-21","ccba94f4-0300-45e6-9f9c-247ad68ef603"
"Merced","Basalt Fire","58","37.060845","-121.057483","Wildfire","2024-06-20 22:03:14-07","2024-06-21","2024","6","2024-06-21 06:27:12-07","2024-06-21","61fcca17-72ce-4d55-ab63-b476f513d46b"
"Kern","Water Fire","546","35.60366","-119.96709","Wildfire","2024-06-21 05:09:00-07","2024-06-21","2024","6","2024-06-21 11:57:12-07","2024-06-21","bc72883a-cba7-40df-9188-54c801003b3b"
"Tulare","Valley Fire","2","36.274399","-119.090599","Wildfire","2024-06-22 15:47:54-07","2024-06-22","2024","6","2024-06-23 03:27:02-07","2024-06-23","ba97837b-0723-465c-8782-4b5168dcbe94"
"Yuba","Double Fire","13","39.458459","-121.303342","Wildfire","2024-06-20 06:07:10-07","2024-06-20","2024","6","2024-06-23 03:28:48-07","2024-06-23","d379549a-4026-49d4-81f7-12eee7c3134c"
"Sonoma","Point Fire","1207","38.705475","-123.012253","Wildfire","2024-06-16 05:33:55-07","2024-06-16","2024","6","2024-06-24 10:30:53-07","2024-06-24","8cc1df77-db00-4f1e-a167-66941973a5b9"
"Madera","Willow Fire","213","37.154953","-119.91267","Wildfire","2024-06-22 08:15:57-07","2024-06-22","2024","6","2024-06-24 11:09:30-07","2024-06-24","3c562f83-c547-4567-a729-9cf73cdf83c4"
"Tuolumne","Willms Fire","12","37.814796","-120.656478","Wildfire","2024-06-24 08:41:47-07","2024-06-24","2024","6","2024-06-24 12:28:44-07","2024-06-24","f2432688-2a7d-4030-b3be-94991c782cf5"
"San Diego","Border 58 Fire","137","32.58748","-116.894511","Wildfire","2024-06-22 08:12:41-07","2024-06-22","2024","6","2024-06-24 15:01:04-07","2024-06-24","0aa93bff-3d1e-43af-9958-fa526cd40c31"
"Placer","Amoruso Fire","438","38.82437","-121.3909","Wildfire","2024-06-24 10:07:21-07","2024-06-24","2024","6","2024-06-25 05:23:37-07","2024-06-25","ce429295-7bae-4567-b520-77c78773ece3"
"Los Angeles, Ventura","Post Fire","15563","34.79208","-118.8521","Wildfire","2024-06-15 06:47:00-07","2024-06-15","2024","6","2024-06-26 11:11:58-07","2024-06-26","c93f7495-a345-4416-80b1-fb91996fa7dd"
"Riverside","Shirleon Fire","15","33.896179","-116.917099","Wildfire","2024-05-28 12:29:11-07","2024-05-28","2024","5","2024-06-29 02:00:00-07","2024-06-29","82b3117e-68c8-4994-99e2-c863fe19f38e"
"San Bernardino","Sierra Fire ","400","34.04119","-117.43441","Wildfire","2024-06-30 08:21:20-07","2024-06-30","2024","6","2024-07-01 00:51:49-07","2024-07-01","ca49af04-92e9-4e98-809a-8607939a4c2d"
"El Dorado","Creek Fire","16","38.895723","-120.930485","Wildfire","2024-06-29 08:22:59-07","2024-06-29","2024","6","2024-07-01 11:37:03-07","2024-07-01","86c8ff02-a1bd-4de9-80d6-a6cfefa224eb"
"Butte","Bar Fire ","36","39.5281902","-121.533535","Wildfire","2024-06-27 07:55:00-07","2024-06-27","2024","6","2024-07-01 11:38:55-07","2024-07-01","68755884-e4c5-4564-830e-94df1e45f9bf"
"San Diego","Kitchen Fire","43","32.717444","-116.47191","Wildfire","2024-07-01 03:34:01-07","2024-07-01","2024","7","2024-07-01 15:30:23-07","2024-07-01","60babd50-9806-43f4-abed-d2718bd70f7f"
"Kern","Kern Fire","15","35.434012","-117.977028","Wildfire","2024-07-01 07:33:00-07","2024-07-01","2024","7","2024-07-01 15:31:13-07","2024-07-01","99f2e9d4-f771-40d4-8eb2-d56ab49ef211"
"Kern","Bowman Fire","13","35.608374","-117.899544","Wildfire","2024-07-02 03:36:27-07","2024-07-02","2024","7","2024-07-02 02:11:00-07","2024-07-02","f56284c7-82cf-4384-a344-61e133842dcc"
"Kern","El Paso Fire","471","35.486517","-117.74823","Wildfire","2024-06-29 14:02:55-07","2024-06-29","2024","6","2024-07-02 11:58:56-07","2024-07-02","f64533e4-f034-4660-a6fa-31a36d5616e0"
"Los Angeles","Sunrise Fire","35","34.432003","-117.834801","Wildfire","2024-07-01 07:29:58-07","2024-07-01","2024","7","2024-07-03 01:45:00-07","2024-07-03","4a98e8c8-7580-4a5f-b15d-4f7190db358e"
"Riverside","Luken Fire","18","33.79682","-117.264072","Wildfire","2024-07-02 08:34:42-07","2024-07-02","2024","7","2024-07-03 08:08:17-07","2024-07-03","073a621b-0e81-4a52-9332-1b32a9400d21"
"Fresno","Little Fire","11","36.786172","-120.757128","Wildfire","2024-07-03 08:47:38-07","2024-07-03","2024","7","2024-07-03 10:51:00-07","2024-07-03","4130ec76-340c-450d-996e-c4e2c71a2365"
"Kern","Power Fire","200","35.470889","-118.750959","Wildfire","2024-07-02 10:08:32-07","2024-07-02","2024","7","2024-07-03 15:36:59-07","2024-07-03","475bb3e7-2ff7-45dc-8a88-ad819f7c6d7e"
"San Bernardino","Sonora Fire ","5","34.50711","-117.5124","Wildfire","2024-07-04 13:10:07-07","2024-07-04","2024","7","2024-07-05 01:00:00-07","2024-07-05","86cbe59b-509f-4d16-bd7b-ac29e1145084"
